country_name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,Lat,Long
Afghanistan,721,155,378,83,350,101,1334,296,382,582,18,33.93911,67.709953
Albania,,,5,,0,0,,0,,5,3,41.153332,20.168331
Algeria,,,69,10,2,48,93,90,5,34,22,28.033886,1.659626
American Samoa,,,,,,34,,,,0,0,-14.270972,-170.132217
Angola,,9,0,130,25,178,370,620,2422,0,357,42.546245,1.601554
Anguilla,,,,,,,,,,,,-11.202692,17.873887
Antigua And Barbuda,,,,,0,,0,,,,,18.220554,-63.068615
Argentina,24,56,25,0,42,29,0,19,0,11,10,-75.250973,-0.071389
Armenia,,0,,,,,,,,,1,17.060816,-61.796428
Australia,2,9,4,1,36,535,8,11,4,20,6,-38.416097,-63.616672
Austria,,4,5,,,3,4,5,0,4,,40.069099,45.038189
Azerbaijan,,,5,,3,0,,,,,,12.52111,-69.968338
Bahamas,,0,1,0,,,0,1,,1,12,-25.274398,133.775136
Bahrain,,,,,,,,,,,,47.516231,14.550072
Bangladesh,16,50,344,102,107,348,68,5721,154,332,1034,40.143105,47.576927
Barbados,,,,,0,,,0,,,1,25.03428,-77.39628
Belarus,2,4,0,,,,,0,5,,,25.930414,50.637772
Belgium,,0,3,5,4,1,0,2,940,2,,23.684994,90.356331
Belize,,,,,0,,8,0,,3,,13.193887,-59.543198
Benin,,7,4,0,71,10,48,10,,4,,53.709807,27.953389
Bermuda,,,,,,,,,,,,50.503887,4.469936
Bhutan,,,,1,,23,,,,,0,17.189877,-88.49765
Bolivia,,136,13,52,59,0,27,116,25,0,0,9.30769,2.315834
Bosnia-Hercegovenia,,,4,,5,1,,0,,4,0,32.321384,-64.75737
Botswana,,12,,0,,0,2,,470,0,0,27.514162,90.433601
Brazil,24,121,0,978,395,203,326,70,20,49,39,-16.290154,-63.588653
Brunei Darussalam,,,,,,,,,,,,43.915886,17.679076
Bulgaria,0,,38,,3,,10,17,18,39,,-22.328474,24.684866
Burkina Faso,,2,18,0,857,398,556,1542,784,9,527,-54.423199,3.413194
Burundi,96,,,24,9,0,9,5,22,120,3,-14.235004,-51.92528
Cambodia,,200,14,247,8,19,,184,5,23,0,-6.343194,71.876519
Cameroon,,0,25,639,528,109,9,8,8,44,46,18.420695,-64.639968
Canada,0,14,0,8,0,2,0,6,1,4,0,4.535277,114.727669
Cape Verde Is,,,,,,9,,,,,0,42.733883,25.48583
Cayman Islands,,,,,,,0,,,,2,12.238333,-1.561593
Central African Rep,,0,0,17,3,4,0,1,,1,3,-3.373056,29.918886
Chad,,,108,557,263,108,22,29,72,115,144,7.539989,-5.54708
Chile,28,0,8,1,562,,9,18,18,61,3,12.565679,104.990963
China P Rep,37,1395,802,746,7186,575,88450,1161,2109,1074,807,7.369722,12.354722
Colombia,0,98,85,313,593,53,155,218,150,180,116,56.130366,-106.346771
Comoros,0,,4,,,2,,29,0,1,,16.002082,-24.013197
Congo,,16,24,65,219,,26,0,56,17,,19.513469,-80.566956
Cook Is,,,,,0,0,,,,0,,6.611111,20.939444
Costa Rica,,3,8,4,27,31,11,19,,6,10,15.454166,18.732207
Cote D'Ivoire,,,,,18,27,50,30,42,40,,-35.675147,-71.542969
Croatia,,,7,,0,,,12,0,7,,35.86166,104.195397
Cuba,,2,14,,,,7,1,2,20,4,-10.447525,105.690449
Cyprus,,,,,,,,4,,,0,-12.164165,96.870956
Czech Rep,,15,32,,23,15,2,4,6,16,,4.570868,-74.297333
Denmark,,2,,,0,,,0,,4,,-11.875001,43.872219
Djibouti,,,,,0,,0,6,,0,51,-4.038333,21.758664
Dominica,,,,0,,,,2,,,0,-0.228021,15.827659
Dominican Rep,,0,172,12,137,32,13,175,,12,703,-21.236736,-159.777671
Ecuador,,24,45,7,18,3,41,,21,,,9.748917,-83.753428
Egypt,,,,,58,,98,,15,,13,45.1,15.2
El Salvador,,0,,35,17,282,30,2,1,120,,21.521757,-77.781167
