Feed name,Headline,Publication,Date,Time,Media type,Link,Language,Page number,Area (sq. cm),Section,Story Lead?,Story ID,Source Country,Source Region,Source Subregion,Reach Value,Reach Type,DAZN [mentions],DAZN [sentiment],DAZN [salience],Aviation relevant,Call of Duty,Cloud,DAZN Media announcement,DAZN TMO Irrelevant,Exclusions,ICA - Relevant coverage,Most Streamed Events,Not launch,relevant,Remove,SAV irrelevant,SAV relevant,Spyro,Sentiment / Negative,Sentiment / Neutral,Sentiment / Positive
DAZN: UK,Warren tells Joshua to wait for winner of Fury-Wilder II,The Daily Telegraph,30/12/2019,04:00:00,Print,https://article.signal-ai.com/3277aaac-b80d-3c6c-8795-6dc7059a929a?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,English,27,139,Sport,Y,6baf36ee-1af3-465a-bb06-8246adc608f6,United Kingdom,Europe,Northern Europe,375000,circulation,1,neutral,0.05,,,,,,,,,,,,,,,,,
DAZN: UK,"'Anthony Joshua should give up belts to wait for blockbuster fight against Tyson Fury or Deontay Wilder,' says Frank Warren",The Daily Telegraph,29/12/2019,22:30:06,Online,https://article.signal-ai.com/86ca4fd5-91fb-3d16-8427-2f19d7a57555?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,English,,,,N,6baf36ee-1af3-465a-bb06-8246adc608f6,United Kingdom,Europe,Northern Europe,17500000,monthly-unique-visitors,1,neutral,0.05,,,,,,,,,,,,,,,,,
DAZN: UK,"'Anthony Joshua should give up belts to wait for blockbuster fight against Tyson Fury or Deontay Wilder,'says Frank Warren",Yahoo! UK and Ireland,29/12/2019,23:45:44,Online,https://article.signal-ai.com/bd73ffc4-690d-336a-80a4-d01fedeb247b?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,English,,,,N,6baf36ee-1af3-465a-bb06-8246adc608f6,United Kingdom,Europe,Northern Europe,87500000,monthly-unique-visitors,1,neutral,0.05,,,,,,,,,,,,,,,,,
DAZN: UK,Barcelona 'desperate to seal Willian transfer' because of Ousmane Dembele; Chelsea winger Willian has long been linked with a move to Barcelona and reports in Spain suggest Ernesto Valverde's side will come back in for him in January,Daily Star,28/12/2019,12:00:00,Online,https://article.signal-ai.com/50bdd2de-6245-31ca-88a8-09c0c6578854?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,English,,,,Y,7f9edd7d-0b6f-46b9-87cd-a93ecbf02ee4,United Kingdom,Europe,Northern Europe,3750000,monthly-unique-visitors,1,neutral,0.25,,,,,,,,,,,,,,,,,
DAZN: UK,Barcelona 'desperate to seal Willian transfer'because of Ousmane Dembele,Daily Star,28/12/2019,09:16:25,Online,https://article.signal-ai.com/93847b2f-a533-344e-96a7-677115194d99?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,English,,,,Y,cb9a866a-1f77-4798-8b13-238b1cb235be,United Kingdom,Europe,Northern Europe,3750000,monthly-unique-visitors,1,neutral,0.25,,,,,,,,,,,,,,,,,
DAZN: UK,"Boxing review of 2019: Anthony Joshua, Canelo Alvarez, Deontay Wilder, Errol Spence and more",The Independent,28/12/2019,08:36:36,Online,https://article.signal-ai.com/238ee7a2-e377-3831-a946-3d5aecbf7ce0?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,English,,,,Y,e345b189-596b-4ddc-b185-c786d0e59f03,United Kingdom,Europe,Northern Europe,17500000,monthly-unique-visitors,1,neutral,0.05,,,,,,,,,,,,,,,,,
DAZN: UK,"Boxing review of 2019: Joshua, Canelo and more",The Independent,28/12/2019,04:00:00,Print,https://article.signal-ai.com/6cc92d8c-e69b-3857-8ce6-eaf245557ef1?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,English,46,1906,News,N,e345b189-596b-4ddc-b185-c786d0e59f03,United Kingdom,Europe,Northern Europe,175000,circulation,1,neutral,0.05,,,,,,,,,,,,,,,,,
DAZN: UK,'It's hard for me to tell people to box now because of what happened',The Guardian,28/12/2019,04:00:00,Print,https://article.signal-ai.com/40873057-415b-36b8-98d0-e73f8bd45483?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,English,2,798,News,Y,f9a0303f-9cb8-46f9-ac64-186659586c0b,United Kingdom,Europe,Northern Europe,175000,circulation,1,neutral,0.05,,,,,,,,,,,,,,,,,
DAZN: UK,"Death of a fighter: Patrick Day loved boxing, but it killed him",The Guardian,27/12/2019,17:22:37,Online,https://article.signal-ai.com/820d7217-c766-391e-bae1-ac51bd9e165b?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,English,,,,N,f9a0303f-9cb8-46f9-ac64-186659586c0b,United Kingdom,Europe,Northern Europe,37500000,monthly-unique-visitors,1,neutral,0.05,,,,,,,,,,,,,,,,,
DAZN: UK,'I drank a glass of champagne and it went to my head': Cristiano Ronaldo says he felt tipsy after a glass of champagne following Portugal's Euro 2016 triumph... because he was dehydrated after crying so much,Daily Mail,27/12/2019,00:28:41,Online,https://article.signal-ai.com/cfb67fc2-2053-33d1-bca0-5ccd15b22339?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,English,,,,Y,8aa3ddf7-1ec6-460a-92dd-43d6a5010346,United Kingdom,Europe,Northern Europe,8750000,monthly-unique-visitors,1,neutral,0.25,,,,,,,,,,,,,,,,,
DAZN: UK,Ronaldo says he felt tipsy after a glass of champagne following Euro 2016 triumph,Daily Mail,27/12/2019,00:25:53,Online,https://article.signal-ai.com/f1eb05ca-c3c4-3604-88d3-57c8e2491e95?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,English,,,,Y,91f50d42-adee-4514-9201-20dbbd104744,United Kingdom,Europe,Northern Europe,8750000,monthly-unique-visitors,1,neutral,0.25,,,,,,,,,,,,,,,,,
DAZN: UK,"Anthony Joshua, Tyson Fury, Floyd Mayweather, Canelo Alvarez and more – boxing’s decade in 100 pictures",The Independent,26/12/2019,09:01:59,Online,https://article.signal-ai.com/1d53db68-14f1-3799-ad78-134d23a48a00?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,English,,,,Y,b48215e5-e413-4a15-911c-f0617e593fce,United Kingdom,Europe,Northern Europe,17500000,monthly-unique-visitors,1,neutral,0.05,,,,,,,,,,,,,,,,,
DAZN: UK,"Who will Anthony Joshua fight in 2020? Likelihood of Deontay Wilder, Tyson Fury bouts",Daily Express,25/12/2019,11:00:00,Print,https://article.signal-ai.com/85547653-0a72-3f76-874f-98f75128f036?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,English,,,,Y,9cfb434e-c795-4ba9-a46e-0f227fd432f6,United Kingdom,Europe,Northern Europe,375000,circulation,1,neutral,0.05,,,,,,,,,,,,,,,,,
DAZN: UK,"Who will Anthony Joshua fight in 2020? Likelihood of Deontay Wilder, Tyson Fury bouts",Daily Express,25/12/2019,10:00:00,Online,https://article.signal-ai.com/b10aa25c-dcb9-370b-b164-4dba9aecc287?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,English,,,,N,9cfb434e-c795-4ba9-a46e-0f227fd432f6,United Kingdom,Europe,Northern Europe,17500000,monthly-unique-visitors,1,neutral,0.05,,,,,,,,,,,,,,,,,
DAZN: UK,Logan Paul's brother Jake brutally mocked by boxing fans as GIB fight confirmed,Daily Star,24/12/2019,11:01:29,Online,https://article.signal-ai.com/dc7b0b21-49e5-3a2c-adff-22bf729500d1?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,English,,,,Y,eb01d314-d7c3-4053-9b1e-7ecbc183a502,United Kingdom,Europe,Northern Europe,3750000,monthly-unique-visitors,1,positive,0.05,,,,,,,,,,,,,,,,,
DAZN: UK,Jake Paul vows to avenge brother Logan Paul’s loss to KSI as he announces New Year boxing match against AnEsonGib,Metro,24/12/2019,08:17:33,Online,https://article.signal-ai.com/6090e436-15b5-395a-8957-9646a6baffb4?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,English,,,,Y,72a3ccdd-2950-4560-be87-202cd5cc559e,United Kingdom,Europe,Northern Europe,8750000,monthly-unique-visitors,2,neutral,0.1,,,,,,,,,,,,,,,,,
DAZN: UK,Paul to fight Gib in latest Matchroom YouTube event,The Independent,25/12/2019,04:00:00,Print,https://article.signal-ai.com/00d31644-2338-3a97-ae25-4342859a340f?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,English,54,741,Sport,Y,71fb544d-6d4a-4160-a75c-c85a5019d110,United Kingdom,Europe,Northern Europe,175000,circulation,3,positive,0.35,,,,,,,,,,,,,,,,,
DAZN: UK,Paul to fight Gib in latest Matchroom YouTube event,The Independent,25/12/2019,00:00:00,Online,https://article.signal-ai.com/c53da43c-492d-3439-a634-da86b7bdcf07?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,English,,,Sport,N,71fb544d-6d4a-4160-a75c-c85a5019d110,United Kingdom,Europe,Northern Europe,17500000,monthly-unique-visitors,3,positive,0.35,,,,,,,,,,,,,,,,,
